# source_id	kind	status	crystal_refs	notes
testing.go::func::DefaultTestOptions	func	missing	-	auto-generated
testing.go::method::VHS.Buffer	method	missing	-	auto-generated
testing.go::method::VHS.CurrentLine	method	missing	-	auto-generated
testing.go::method::VHS.SaveOutput	method	missing	-	auto-generated
testing.go::struct::TestOptions	struct	missing	-	auto-generated
themes.go::method::Theme.String	method	missing	-	auto-generated
themes.go::method::ThemeNotFoundError.Error	method	missing	-	auto-generated
themes.go::struct::Theme	struct	missing	-	auto-generated
themes.go::struct::ThemeNotFoundError	struct	missing	-	auto-generated
themes_test.go::test::TestFindAllThemes	test	missing	-	auto-generated
themes_test.go::test::TestFindTheme	test	missing	-	auto-generated
token/token.go::const::ALT	const	missing	-	auto-generated
token/token.go::const::AT	const	missing	-	auto-generated
token/token.go::const::BACKSLASH	const	missing	-	auto-generated
token/token.go::const::BACKSPACE	const	missing	-	auto-generated
token/token.go::const::BOOLEAN	const	missing	-	auto-generated
token/token.go::const::BORDER_RADIUS	const	missing	-	auto-generated
token/token.go::const::CARET	const	missing	-	auto-generated
token/token.go::const::COMMENT	const	missing	-	auto-generated
token/token.go::const::COPY	const	missing	-	auto-generated
token/token.go::const::CTRL	const	missing	-	auto-generated
token/token.go::const::CURSOR_BLINK	const	missing	-	auto-generated
token/token.go::const::DASH	const	missing	-	auto-generated
token/token.go::const::DELETE	const	missing	-	auto-generated
token/token.go::const::DOT	const	missing	-	auto-generated
token/token.go::const::DOWN	const	missing	-	auto-generated
token/token.go::const::EM	const	missing	-	auto-generated
token/token.go::const::END	const	missing	-	auto-generated
token/token.go::const::ENTER	const	missing	-	auto-generated
token/token.go::const::ENV	const	missing	-	auto-generated
token/token.go::const::EOF	const	missing	-	auto-generated
token/token.go::const::EQUAL	const	missing	-	auto-generated
token/token.go::const::ESCAPE	const	missing	-	auto-generated
token/token.go::const::FONT_FAMILY	const	missing	-	auto-generated
token/token.go::const::FONT_SIZE	const	missing	-	auto-generated
token/token.go::const::FRAMERATE	const	missing	-	auto-generated
token/token.go::const::HEIGHT	const	missing	-	auto-generated
token/token.go::const::HIDE	const	missing	-	auto-generated
token/token.go::const::HOME	const	missing	-	auto-generated
token/token.go::const::ILLEGAL	const	missing	-	auto-generated
token/token.go::const::INSERT	const	missing	-	auto-generated
token/token.go::const::JSON	const	missing	-	auto-generated
token/token.go::const::LEFT	const	missing	-	auto-generated
token/token.go::const::LEFT_BRACKET	const	missing	-	auto-generated
token/token.go::const::LETTER_SPACING	const	missing	-	auto-generated
token/token.go::const::LINE_HEIGHT	const	missing	-	auto-generated
token/token.go::const::LOOP_OFFSET	const	missing	-	auto-generated
token/token.go::const::MARGIN	const	missing	-	auto-generated
token/token.go::const::MARGIN_FILL	const	missing	-	auto-generated
token/token.go::const::MILLISECONDS	const	missing	-	auto-generated
token/token.go::const::MINUS	const	missing	-	auto-generated
token/token.go::const::MINUTES	const	missing	-	auto-generated
token/token.go::const::NUMBER	const	missing	-	auto-generated
token/token.go::const::OUTPUT	const	missing	-	auto-generated
token/token.go::const::PADDING	const	missing	-	auto-generated
token/token.go::const::PAGE_DOWN	const	missing	-	auto-generated
token/token.go::const::PAGE_UP	const	missing	-	auto-generated
token/token.go::const::PASTE	const	missing	-	auto-generated
token/token.go::const::PERCENT	const	missing	-	auto-generated
token/token.go::const::PLAYBACK_SPEED	const	missing	-	auto-generated
token/token.go::const::PLUS	const	missing	-	auto-generated
token/token.go::const::PX	const	missing	-	auto-generated
token/token.go::const::REGEX	const	missing	-	auto-generated
token/token.go::const::REQUIRE	const	missing	-	auto-generated
token/token.go::const::RIGHT	const	missing	-	auto-generated
token/token.go::const::RIGHT_BRACKET	const	missing	-	auto-generated
token/token.go::const::SCREENSHOT	const	missing	-	auto-generated
token/token.go::const::SECONDS	const	missing	-	auto-generated
token/token.go::const::SET	const	missing	-	auto-generated
token/token.go::const::SHELL	const	missing	-	auto-generated
token/token.go::const::SHIFT	const	missing	-	auto-generated
token/token.go::const::SHOW	const	missing	-	auto-generated
token/token.go::const::SLASH	const	missing	-	auto-generated
token/token.go::const::SLEEP	const	missing	-	auto-generated
token/token.go::const::SOURCE	const	missing	-	auto-generated
token/token.go::const::SPACE	const	missing	-	auto-generated
token/token.go::const::STRING	const	missing	-	auto-generated
token/token.go::const::TAB	const	missing	-	auto-generated
token/token.go::const::THEME	const	missing	-	auto-generated
token/token.go::const::TYPE	const	missing	-	auto-generated
token/token.go::const::TYPING_SPEED	const	missing	-	auto-generated
token/token.go::const::UP	const	missing	-	auto-generated
token/token.go::const::WAIT	const	missing	-	auto-generated
token/token.go::const::WAIT_PATTERN	const	missing	-	auto-generated
token/token.go::const::WAIT_TIMEOUT	const	missing	-	auto-generated
token/token.go::const::WIDTH	const	missing	-	auto-generated
token/token.go::const::WINDOW_BAR	const	missing	-	auto-generated
